threads_per_block,iteracoes,sse,h2d_ms,d2h_ms,kernel_ms,total_ms,overhead_ms
128,50,24.665393,1.02,3.81,440.02,447.67,2.81
128,50,24.665393,0.95,3.47,260.10,267.17,2.66
128,50,24.665393,1.01,3.57,259.18,266.54,2.77
128,50,24.665393,0.97,3.71,259.99,267.34,2.67
128,50,24.665393,0.97,3.82,260.17,267.72,2.76
128,50,24.665393,0.97,3.70,259.98,267.31,2.65
128,50,24.665393,1.05,3.66,260.06,267.39,2.62
128,50,24.665393,0.96,3.63,260.22,267.46,2.66
128,50,24.665393,1.04,3.83,259.75,267.42,2.80
128,50,24.665393,1.14,4.36,250.18,259.33,3.66
128,50,24.665393,1.13,4.47,257.38,266.63,3.66
128,50,24.665393,1.22,4.47,255.97,265.34,3.68
128,50,24.665393,1.36,4.47,242.58,252.17,3.76
128,50,24.665393,1.03,3.76,259.64,267.45,3.03
128,50,24.665393,0.94,3.57,259.21,266.37,2.65
128,50,24.665393,0.97,3.78,260.19,267.72,2.78
128,50,24.665393,0.96,3.65,260.06,267.28,2.62
128,50,24.665393,1.06,3.84,259.36,267.14,2.89
128,50,24.665393,1.01,3.81,259.43,267.11,2.86
128,50,24.665393,1.08,3.79,259.90,267.57,2.80
256,50,24.665393,0.98,3.79,259.35,266.83,2.71
256,50,24.665393,0.97,3.72,259.81,267.31,2.80
256,50,24.665393,1.00,3.63,259.68,267.11,2.79
256,50,24.665393,0.98,3.62,259.87,267.26,2.79
256,50,24.665393,0.97,3.76,259.53,267.05,2.79
256,50,24.665393,0.94,3.56,259.72,266.82,2.61
256,50,24.665393,0.95,3.69,258.71,266.15,2.80
256,50,24.665393,1.00,3.70,259.00,266.49,2.78
256,50,24.665393,1.06,4.00,259.13,267.08,2.90
256,50,24.665393,0.97,3.72,259.06,266.57,2.82
256,50,24.665393,1.04,3.87,258.38,266.20,2.91
256,50,24.665393,0.98,3.73,258.50,266.00,2.79
256,50,24.665393,1.02,3.75,258.94,266.59,2.88
256,50,24.665393,0.95,3.56,259.27,266.49,2.70
256,50,24.665393,1.17,4.26,253.76,262.56,3.37
256,50,24.665393,1.15,4.21,257.75,266.80,3.69
256,50,24.665393,1.13,4.42,258.26,267.45,3.65
256,50,24.665393,1.26,4.56,248.98,258.54,3.74
256,50,24.665393,1.30,4.44,250.13,259.53,3.65
256,50,24.665393,0.97,3.61,257.55,264.80,2.67
512,50,24.665393,0.95,3.54,258.28,265.43,2.66
512,50,24.665393,0.99,3.84,257.82,265.40,2.75
512,50,24.665393,0.98,3.83,257.72,265.25,2.72
512,50,24.665393,1.00,3.77,258.22,265.81,2.82
512,50,24.665393,1.00,3.88,258.10,265.75,2.77
512,50,24.665393,1.08,3.94,252.83,260.73,2.88
512,50,24.665393,0.97,3.63,257.92,265.19,2.67
512,50,24.665393,1.01,3.78,255.27,262.86,2.79
512,50,24.665393,0.95,3.59,257.66,264.94,2.74
512,50,24.665393,1.02,3.72,257.70,265.27,2.84
512,50,24.665393,0.95,3.65,258.14,265.38,2.65
512,50,24.665393,1.03,3.83,257.96,265.66,2.84
512,50,24.665393,0.99,3.78,257.15,264.81,2.89
512,50,24.665393,0.99,3.97,256.43,264.13,2.74
512,50,24.665393,0.97,3.88,257.88,265.51,2.79
512,50,24.665393,1.01,3.96,257.31,265.12,2.84
512,50,24.665393,0.97,3.79,256.84,264.30,2.69
512,50,24.665393,1.02,3.87,256.73,264.46,2.83
512,50,24.665393,1.05,4.03,257.90,265.85,2.88
512,50,24.665393,1.04,4.08,255.95,264.01,2.9
